Ec(C2(n378_des_2)) X,Ec(C2(n378_des_2)) Y,Ev(C2(n378_des_2)) X,Ev(C2(n378_des_2)) Y,Efn(C2(n378_des_2)) X,Efn(C2(n378_des_2)) Y,Efp(C2(n378_des_2)) X,Efp(C2(n378_des_2)) Y
-0.22,-0.074175007,-0.22,-1.028506,-0.22,2.2007837e-16,-0.22,-1.1483306e-12
-0.1728449,-0.074167846,-0.1728449,-1.0285011,-0.1728449,-4.399246e-16,-0.1728449,-1.2729392e-12
-0.1625824,-0.074165503,-0.1625824,-1.0284998,-0.1625824,-3.5784548e-16,-0.1625824,-1.2964138e-12
-0.13746613,-0.074056811,-0.13746613,-1.0284614,-0.13746613,1.1358522e-16,-0.13746613,-1.8204939e-12
-0.132,-0.074034744,-0.132,-1.0284534,-0.132,1.9194222e-17,-0.132,-1.934551e-12
-0.12533362,-0.074005739,-0.12533362,-1.0284431,-0.12533362,-2.4480697e-16,-0.12533362,-2.2705114e-12
-0.1238828,-0.073999851,-0.1238828,-1.0284409,-0.1238828,-1.5451993e-16,-0.1238828,-2.3631295e-12
-0.10246117,-0.072657743,-0.10246117,-1.0280133,-0.10246117,-2.2994884e-16,-0.10246117,-3.6491924e-12
-0.097799122,-0.072362325,-0.097799122,-1.027919,-0.097799122,-3.6948336e-16,-0.097799122,-3.9716649e-12
-0.089751884,-0.070307159,-0.089751884,-1.0272705,-0.089751884,-5.4862702e-16,-0.089751884,-4.5209383e-12
-0.088000536,-0.069767119,-0.088000536,-1.0271009,-0.088000536,-4.6449591e-16,-0.088000536,-4.6598161e-12
-0.08160954,-0.067819819,-0.08160954,-1.0264868,-0.08160954,-5.7763928e-16,-0.08160954,-5.1217428e-12
-0.08021865,-0.067332919,-0.08021865,-1.0263371,-0.08021865,-6.2893874e-16,-0.08021865,-5.2421365e-12
-0.070487238,-0.063856959,-0.070487238,-1.0251938,-0.070487238,-3.2722309e-16,-0.070487238,-6.0109079e-12
-0.068369359,-0.063082348,-0.068369359,-1.0249393,-0.068369359,-3.7031463e-16,-0.068369359,-6.2141687e-12
-0.061810356,-0.060107512,-0.061810356,-1.0239313,-0.061810356,-9.1717424e-16,-0.061810356,-6.7810924e-12
-0.060382899,-0.059461796,-0.060382899,-1.0237139,-0.060382899,-9.0281039e-16,-0.060382899,-6.9516528e-12
-0.055962108,-0.056861383,-0.055962108,-1.0228132,-0.055962108,-6.2938059e-16,-0.055962108,-7.3294008e-12
-0.055,-0.056301852,-0.055,-1.0226195,-0.055,-6.7862807e-16,-0.055,-7.4572144e-12
-0.050556708,-0.052776238,-0.050556708,-1.0213971,-0.050556708,-1.1594874e-15,-0.050556708,-7.8047908e-12
-0.049589701,-0.052023048,-0.049589701,-1.0211336,-0.049589701,-1.1717992e-15,-0.049589701,-7.9411079e-12
-0.044602271,-0.045713233,-0.044602271,-1.0189977,-0.044602271,-7.7108316e-16,-0.044602271,-8.2328669e-12
-0.043516841,-0.044389702,-0.043516841,-1.0185449,-0.043516841,-7.5056337e-16,-0.043516841,-8.3856654e-12
-0.037918642,-0.029054781,-0.037918642,-1.013349,-0.037918642,-1.2526371e-15,-0.037918642,-8.4755767e-12
-0.03670029,-0.025826555,-0.03670029,-1.0122556,-0.03670029,-1.3788337e-15,-0.03670029,-8.6162603e-12
-0.030416526,0.01732143,-0.030416526,-0.99076357,-0.030416526,-2.0081937e-15,-0.030416526,-8.3211824e-12
-0.02904897,0.026511074,-0.02904897,-0.98630447,-0.02904897,-2.1066887e-15,-0.02904897,-8.3842191e-12
-0.021995688,0.45599858,-0.021995688,-0.5821975,-0.021995688,-7.0845683e-9,-0.021995688,-8.4153713e-12
-0.02046066,0.54923914,-0.02046066,-0.49458501,-0.02046066,-8.8062668e-9,-0.02046066,-8.4117434e-12
-0.012543611,0.81652674,-0.012543611,-0.2303749,-0.012543611,-0.0021695394,-0.012543611,-8.7682016e-12
-0.0108206,0.87497645,-0.0108206,-0.17255518,-0.0108206,-0.0026334775,-0.0108206,-8.7616434e-12
-0.0019340148,0.7727558,-0.0019340148,-0.27410601,-0.0019340148,-0.10797254,-0.0019340148,-2.5658002e-11
0,0.75218747,0,-0.29452484,0,-0.12909845,0,-3.0910993e-11
0.0019340148,0.62998998,0.0019340148,-0.41687183,0.0019340148,-0.24448159,0.0019340148,-0.018482436
0.0108206,0.05074865,0.0108206,-0.99678298,0.0108206,-0.79363067,0.0108206,-0.12588351
0.012543611,-0.16235309,0.012543611,-1.2092547,0.012543611,-1.0045423,0.012543611,-0.34087722
0.02046066,-1.1531181,0.02046066,-2.1969423,0.02046066,-1.9874099,0.02046066,-1.3404688
0.021995688,-1.4322217,0.021995688,-2.4704178,0.021995688,-2.1757289,0.021995688,-1.5956359
0.02904897,-2.6897649,0.02904897,-3.7025804,0.02904897,-3,0.02904897,-2.7334042
0.030416526,-2.7516804,0.030416526,-3.7597654,0.030416526,-3,0.030416526,-2.7550242
0.03670029,-3.0246995,0.03670029,-4.0111285,0.03670029,-3,0.03670029,-2.857176
0.037918642,-3.0281241,0.037918642,-4.0124183,0.037918642,-3,0.037918642,-2.8664424
0.043516841,-3.044387,0.043516841,-4.0185422,0.043516841,-3,0.043516841,-2.9068366
0.044602271,-3.045711,0.044602271,-4.0189954,0.044602271,-3,0.044602271,-2.9090965
0.049589701,-3.052023,0.049589701,-4.0211336,0.049589701,-3,0.049589701,-2.919191
0.050556708,-3.0527762,0.050556708,-4.0213971,0.050556708,-3,0.050556708,-2.9207761
0.055,-3.0563019,0.055,-4.0226195,0.055,-3,0.055,-2.9277079
0.055962108,-3.0568614,0.055962108,-4.0228132,0.055962108,-3,0.055962108,-2.9290254
0.060382899,-3.0594618,0.060382899,-4.0237139,0.060382899,-3,0.060382899,-2.9347764
0.061810356,-3.0601075,0.061810356,-4.0239313,0.061810356,-3,0.061810356,-2.9363902
0.068369359,-3.0630823,0.068369359,-4.0249393,0.068369359,-3,0.068369359,-2.9435078
0.070487238,-3.063857,0.070487238,-4.0251938,0.070487238,-3,0.070487238,-2.9453859
0.08021865,-3.0673329,0.08021865,-4.0263371,0.08021865,-3,0.08021865,-2.9538638
0.08160954,-3.0678198,0.08160954,-4.0264868,0.08160954,-3,0.08160954,-2.9549349
0.088000536,-3.0697671,0.088000536,-4.0271009,0.088000536,-3,0.088000536,-2.9597484
0.089751884,-3.0703072,0.089751884,-4.0272705,0.089751884,-3,0.089751884,-2.9609617
0.097799122,-3.0723623,0.097799122,-4.027919,0.097799122,-3,0.097799122,-2.9662717
0.10246117,-3.0726577,0.10246117,-4.0280133,0.10246117,-3,0.10246117,-2.9690302
0.1238828,-3.0739999,0.1238828,-4.0284409,0.1238828,-3,0.1238828,-2.9809639
0.12533362,-3.0740057,0.12533362,-4.0284431,0.12533362,-3,0.12533362,-2.9816548
0.132,-3.0740347,0.132,-4.0284534,0.132,-3,0.132,-2.9843383
0.13746613,-3.0740568,0.13746613,-4.0284614,0.13746613,-3,0.13746613,-2.9850882
0.1625824,-3.0741655,0.1625824,-4.0284998,0.1625824,-3,0.1625824,-2.988912
0.1728449,-3.0741678,0.1728449,-4.0285011,0.1728449,-3,0.1728449,-2.9890482
0.22,-3.074175,0.22,-4.028506,0.22,-3,0.22,-2.9898632

