Ec X,Ec Y,Ev X,Ev Y,Efn X,Efn Y,Efp X,Efp Y
-0.22,-0.074476328,-0.22,-1.0288864,-0.22,-0.00041784914,-0.22,-2.0605366e-5
-0.1695291,-0.074816617,-0.1695291,-1.0292292,-0.1695291,-0.00076580141,-0.1695291,-3.8315794e-5
-0.1625824,-0.074853652,-0.1625824,-1.0292669,-0.1625824,-0.0008044223,-0.1625824,-4.0382806e-5
-0.13570003,-0.075701239,-0.13570003,-1.0301897,-0.13570003,-0.0017683441,-0.13570003,-8.6838282e-5
-0.132,-0.075808236,-0.132,-1.0303062,-0.132,-0.001890277,-0.132,-9.2986264e-5
-0.12486486,-0.07630513,-0.12486486,-1.0308232,-0.12486486,-0.0024182166,-0.12486486,-0.00011573254
-0.1238828,-0.076385144,-0.1238828,-1.0309057,-0.1238828,-0.0025022165,-0.1238828,-0.00011966112
-0.10095487,-0.076988264,-0.10095487,-1.0324876,-0.10095487,-0.0045418151,-0.10095487,-0.00019073228
-0.097799122,-0.077090021,-0.097799122,-1.0327255,-0.097799122,-0.004843541,-0.097799122,-0.00020224147
-0.08918602,-0.075707362,-0.08918602,-1.0328484,-0.08918602,-0.0056605501,-0.08918602,-0.00020923034
-0.088000536,-0.075461752,-0.088000536,-1.0328536,-0.088000536,-0.0057804924,-0.088000536,-0.00021050033
-0.081160143,-0.074063774,-0.081160143,-1.0328826,-0.081160143,-0.0064667475,-0.081160143,-0.00020737
-0.08021865,-0.073836058,-0.08021865,-1.0328831,-0.08021865,-0.0065686167,-0.08021865,-0.00020708486
-0.069802955,-0.071230583,-0.069802955,-1.0327743,-0.069802955,-0.0076835149,-0.069802955,-0.00018716765
-0.068369359,-0.070872448,-0.068369359,-1.0327682,-0.068369359,-0.0078497124,-0.068369359,-0.00018449815
-0.061349146,-0.068491982,-0.061349146,-1.0324929,-0.061349146,-0.0086532433,-0.061349146,-0.00016057605
-0.060382899,-0.0681815,-0.060382899,-1.0324723,-0.060382899,-0.0087798433,-0.060382899,-0.0001572672
-0.055651251,-0.065950785,-0.055651251,-1.0320609,-0.055651251,-0.0093323641,-0.055651251,-0.00013659597
-0.055,-0.065662522,-0.055,-1.0320202,-0.055,-0.0094228424,-0.055,-0.00013368081
-0.050244268,-0.062441587,-0.050244268,-1.0312644,-0.050244268,-0.0099753621,-0.050244268,-0.00010968762
-0.049589701,-0.062025975,-0.049589701,-1.0311803,-0.049589701,-0.010069571,-0.049589701,-0.00010625095
-0.044251569,-0.055870475,-0.044251569,-1.0294921,-0.044251569,-0.010667271,-0.044251569,-7.6720823e-5
-0.043516841,-0.055080945,-0.043516841,-1.029292,-0.043516841,-0.010773578,-0.043516841,-7.239418e-5
-0.037524994,-0.039322787,-0.037524994,-1.0243858,-0.037524994,-0.011414507,-0.037524994,-3.9863767e-5
-0.03670029,-0.037257197,-0.03670029,-1.0237653,-0.03670029,-0.011531826,-0.03670029,-3.4912098e-5
-0.029974669,0.0049376413,-0.029974669,-1.0047492,-0.029974669,-0.012414619,-0.029974669,-7.3983897e-6
-0.02904897,0.010484666,-0.02904897,-1.0024043,-0.02904897,-0.012568083,-0.02904897,-2.8313546e-6
-0.021499721,0.33357247,-0.021499721,-0.70648174,-0.021499721,-0.014220354,-0.021499721,-6.3660665e-7
