drain TotalCurrent(IdVd_n378_des) X,drain TotalCurrent(IdVd_n378_des) Y,drain TotalCurrent(IdVd_n379_des) X,drain TotalCurrent(IdVd_n379_des) Y,drain TotalCurrent(IdVd_n380_des) X,drain TotalCurrent(IdVd_n380_des) Y
0,-4.1246394e-22,0,2.3621873e-18,0,6.9940053e-18
0.03,1.1127488e-16,0.03,4.1663691e-10,0.03,0.00012904973
0.07,2.5233123e-16,0.07,5.3267268e-10,0.07,0.00027461737
0.12866667,4.2878664e-16,0.126,5.7414534e-10,0.12866667,0.00044057497
0.20366667,5.6664984e-16,0.201,7.2626277e-10,0.20366667,0.00058964521
0.27866667,6.4088721e-16,0.276,9.6319076e-10,0.27866667,0.0006892274
0.35366667,6.8023188e-16,0.351,1.2538492e-9,0.35366667,0.00075613041
0.42866667,7.0786376e-16,0.426,1.6071085e-9,0.42866667,0.00080199579
0.50366667,7.3409296e-16,0.501,2.0332697e-9,0.50366667,0.00083472265
0.57866667,7.5635542e-16,0.576,2.5613937e-9,0.57866667,0.00085947252
0.65366667,7.7408147e-16,0.651,3.2211422e-9,0.65366667,0.00087928398
0.72866667,7.926681e-16,0.726,4.0450877e-9,0.72866667,0.0008958757
0.80366667,8.1437718e-16,0.801,5.0735212e-9,0.80366667,0.00091041099
0.87866667,8.3840399e-16,0.876,6.3565433e-9,0.87866667,0.00092370292
0.95366667,8.6421216e-16,0.951,7.9562821e-9,0.95366667,0.00093621243
1.0286667,8.8976068e-16,1.026,9.9494495e-9,1.0286667,0.00094816795
1.1036667,9.1212871e-16,1.101,1.2430358e-8,1.1036667,0.00095967867
1.1786667,9.3229194e-16,1.176,1.5514468e-8,1.1786667,0.00097079146
1.2536667,9.5455373e-16,1.251,1.9343303e-8,1.2536667,0.00098152279
1.3286667,9.8214625e-16,1.326,2.4090402e-8,1.3286667,0.00099188538
1.4036667,1.0144657e-15,1.401,2.9967917e-8,1.4036667,0.0010019196
1.4786667,1.0489319e-15,1.476,3.7233388e-8,1.4786667,0.0010116871
1.5536667,1.085974e-15,1.551,4.6196412e-8,1.5536667,0.0010212438
1.6286667,1.1331012e-15,1.626,5.7225736e-8,1.6286667,0.0010306289
1.7036667,1.206086e-15,1.701,7.0758008e-8,1.7036667,0.0010398668
1.7786667,1.3158082e-15,1.776,8.7310562e-8,1.7786667,0.0010489722
1.8536667,1.440394e-15,1.851,1.0749688e-7,1.8536667,0.0010579514
1.9286667,1.5436425e-15,1.926,1.3204214e-7,1.9286667,0.0010668091
2.0036667,1.6175817e-15,2.001,1.6179804e-7,2.0036667,0.0010755467
2.0786667,1.6694412e-15,2.076,1.9775534e-7,2.0786667,0.0010841625
2.1536667,1.7043564e-15,2.151,2.4105575e-7,2.1536667,0.0010926562
2.2286667,1.7279438e-15,2.226,2.9300392e-7,2.2286667,0.0011010278
2.3036667,1.7468705e-15,2.301,3.5507648e-7,2.3036667,0.0011092783
2.3786667,1.767207e-15,2.376,4.2892238e-7,2.3786667,0.0011174067
2.4536667,1.7934601e-15,2.451,5.1634863e-7,2.4536667,0.0011254113
2.5286667,1.8277209e-15,2.526,6.1929419e-7,2.5286667,0.0011332927
2.6036667,1.8686537e-15,2.601,7.3981534e-7,2.6036667,0.0011410452
2.6786667,1.912363e-15,2.676,8.8013442e-7,2.6786667,0.0011486555
2.7536667,1.955993e-15,2.751,1.0427893e-6,2.7536667,0.0011561146
2.8286667,1.999556e-15,2.826,1.2308127e-6,2.8286667,0.001163414
2.9036667,2.0436633e-15,2.901,1.4477893e-6,2.9036667,0.0011705568
2.9786667,2.0878419e-15,2.976,1.69776e-6,2.9786667,0.0011775611
3,2.1004082e-15,3,1.7854248e-6,3,0.0011795321

