drain TotalCurrent(IdVd_n306_des) X,drain TotalCurrent(IdVd_n306_des) Y,drain TotalCurrent(IdVd_n380_des) X,drain TotalCurrent(IdVd_n380_des) Y
0,2.0496393e-15,0,2.1004082e-15
0.03,2.0502273e-15,0.03,2.1892663e-15
0.072,2.0510271e-15,0.072,2.49001e-15
0.1336,2.0521721e-15,0.1336,4.0875277e-15
0.2086,2.053555e-15,0.2086,1.4575221e-14
0.2836,2.0549699e-15,0.2836,7.8880515e-14
0.3586,2.0565079e-15,0.3586,4.7515227e-13
0.4336,2.0582956e-15,0.4336,2.9173571e-12
0.5086,2.0604188e-15,0.5086,1.7909725e-11
0.5836,2.0629837e-15,0.5836,1.0935764e-10
0.6586,2.0663046e-15,0.6586,6.6271011e-10
0.7336,2.0712147e-15,0.7336,3.9803095e-9
0.8086,2.0797227e-15,0.8086,2.3616301e-8
0.8836,2.0966077e-15,0.8836,1.3677642e-7
0.9586,2.1339045e-15,0.9586,7.4355069e-7
1.0336,2.2227035e-15,1.0336,3.457465e-6
1.1086,2.4449243e-15,1.1086,1.209659e-5
1.1836,3.0214738e-15,1.1836,3.0182834e-5
1.2586,4.5615218e-15,1.2586,5.7420307e-5
1.3336,8.7819203e-15,1.3336,9.1413163e-5
1.4086,2.0623767e-14,1.4086,0.00013000167
1.4836,5.4594713e-14,1.4836,0.0001717337
1.5586,1.5411184e-13,1.5586,0.00021568452
1.6336,4.5151781e-13,1.6336,0.00026125677
1.7086,1.3575301e-12,1.7086,0.00030804556
1.7836,4.169679e-12,1.7836,0.00035576936
1.8586,1.3060076e-11,1.8586,0.00040423041
1.9336,4.1677374e-11,1.9336,0.00045328625
2.0086,1.3540924e-10,2.0086,0.00050282564
2.0836,4.4742673e-10,2.0836,0.00055276237
2.1586,1.5006921e-9,2.1586,0.00060303375
2.2336,5.0900138e-9,2.2336,0.0006535888
2.3086,1.7310025e-8,2.3086,0.00070438558
2.3836,5.7807377e-8,2.3836,0.00075538944
2.4586,1.8112084e-7,2.4586,0.00080657103
2.5336,4.9816301e-7,2.5336,0.00085790603
2.6086,1.1526969e-6,2.6086,0.00090937384
2.6836,2.2621737e-6,2.6836,0.00096095558
2.7586,3.8914439e-6,2.7586,0.0010126359
2.8336,6.0616092e-6,2.8336,0.0010644065
2.9086,8.7658334e-6,2.9086,0.001116258
2.9836,1.1981509e-5,2.9836,0.0011681715
3,1.2749893e-5,3,0.0011795321

