drain TotalCurrent(IdVd_n304_des) X,drain TotalCurrent(IdVd_n304_des) Y,drain TotalCurrent(IdVd_n305_des) X,drain TotalCurrent(IdVd_n305_des) Y,drain TotalCurrent(IdVd_n306_des) X,drain TotalCurrent(IdVd_n306_des) Y
0,-3.8783202e-19,0,-1.1992379e-17,0,-3.8937461e-16
0.03,2.4335044e-17,0.03,-3.5311329e-16,0.03,2.965576e-6
0.07,-8.2360799e-15,0.07,1.2344368e-16,0.07,6.0208895e-6
0.12866667,8.5857143e-17,0.12733333,1.6837128e-16,0.12733333,8.8563466e-6
0.20366667,1.3727535e-16,0.20233333,2.4384221e-16,0.20233333,1.0558079e-5
0.27866667,2.1254553e-16,0.27733333,2.9691834e-16,0.27733333,1.1104077e-5
0.35366667,3.1226989e-16,0.35233333,4.0147678e-16,0.35233333,1.1324915e-5
0.42866667,4.490476e-16,0.42733333,5.3578933e-16,0.42733333,1.1463124e-5
0.50366667,6.3771476e-16,0.50233333,7.2864135e-16,0.50233333,1.1567014e-5
0.57866667,8.6634272e-16,0.57733333,9.6109454e-16,0.57733333,1.1651597e-5
0.65366667,1.0662265e-15,0.65233333,1.1705414e-15,0.65233333,1.1724899e-5
0.72866667,1.1875918e-15,0.72733333,1.2942975e-15,0.72733333,1.1790855e-5
0.80366667,1.2554141e-15,0.80233333,1.3623061e-15,0.80233333,1.1851245e-5
0.87866667,1.2986285e-15,0.87733333,1.4051668e-15,0.87733333,1.1906755e-5
0.95366667,1.3276079e-15,0.95233333,1.4337515e-15,0.95233333,1.1957606e-5
1.0286667,1.3502473e-15,1.0273333,1.4549878e-15,1.0273333,1.2003962e-5
1.1036667,1.36982e-15,1.1023333,1.4715117e-15,1.1023333,1.2046217e-5
1.1786667,1.3863637e-15,1.1773333,1.4843237e-15,1.1773333,1.2084972e-5
1.2536667,1.4017274e-15,1.2523333,1.4962148e-15,1.2523333,1.2120954e-5
1.3286667,1.4176893e-15,1.3273333,1.5089808e-15,1.3273333,1.2154964e-5
1.4036667,1.4350157e-15,1.4023333,1.5231984e-15,1.4023333,1.2187681e-5
1.4786667,1.4540298e-15,1.4773333,1.53977e-15,1.4773333,1.2219425e-5
1.5536667,1.4750039e-15,1.5523333,1.5600159e-15,1.5523333,1.225027e-5
1.6286667,1.4985366e-15,1.6273333,1.5849426e-15,1.6273333,1.2280205e-5
1.7036667,1.5302062e-15,1.7023333,1.6201135e-15,1.7023333,1.2309241e-5
1.7786667,1.5818649e-15,1.7773333,1.6765254e-15,1.7773333,1.2337463e-5
1.8536667,1.6637679e-15,1.8523333,1.7635352e-15,1.8523333,1.2365021e-5
1.9286667,1.7675591e-15,1.9273333,1.8724874e-15,1.9273333,1.2392067e-5
2.0036667,1.861773e-15,2.0023333,1.9715912e-15,2.0023333,1.2418709e-5
2.0786667,1.9238987e-15,2.0773333,2.037691e-15,2.0773333,1.2445012e-5
2.1536667,1.9582175e-15,2.1523333,2.0747188e-15,2.1523333,1.2471014e-5
2.2286667,1.9785191e-15,2.2273333,2.0964475e-15,2.2273333,1.2496741e-5
2.3036667,1.9939342e-15,2.3023333,2.1120414e-15,2.3023333,1.2522215e-5
2.3786667,2.0069131e-15,2.3773333,2.1242824e-15,2.3773333,1.2547454e-5
2.4536667,2.0165985e-15,2.4523333,2.1330468e-15,2.4523333,1.2572476e-5
2.5286667,2.0228015e-15,2.5273333,2.1387727e-15,2.5273333,1.2597297e-5
2.6036667,2.026622e-15,2.6023333,2.1427695e-15,2.6023333,1.2621931e-5
2.6786667,2.0293357e-15,2.6773333,2.1462611e-15,2.6773333,1.2646393e-5
2.7536667,2.0319158e-15,2.7523333,2.150103e-15,2.7523333,1.2670693e-5
2.8286667,2.0351527e-15,2.8273333,2.1549474e-15,2.8273333,1.2694842e-5
2.9036667,2.0398814e-15,2.9023333,2.1614075e-15,2.9023333,1.2718845e-5
2.9786667,2.0470428e-15,2.9773333,2.1700347e-15,2.9773333,1.2742708e-5
3,2.0496393e-15,3,2.1731153e-15,3,1.2749893e-5

